Overriding config with config/exp3_heads.py:
# Experiment 3 - Attention head sweep
# Vary: n_head ∈ {4, 8, 16, 32}
# Fixed: n_layer = 6, n_embd = 256, dropout = 0.0

out_dir = 'out-exp3-heads'
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp3-heads'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6
n_head = 8  # overridden via command line
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp3-head4
Overriding: n_head = 4
Overriding: wandb_run_name = exp3-head4
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 4.78M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 26, with 4,842,496 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: False
step 0: train loss 5.4052, val loss 5.4053
iter 0: loss 5.4059, time 28238.79ms, mfu -100.00%
iter 10: loss 4.0943, time 201.08ms, mfu 0.87%
iter 20: loss 3.4585, time 204.54ms, mfu 0.87%
iter 30: loss 2.9133, time 205.99ms, mfu 0.87%
iter 40: loss 2.5922, time 210.24ms, mfu 0.87%
iter 50: loss 2.4088, time 205.02ms, mfu 0.86%
iter 60: loss 2.3624, time 202.65ms, mfu 0.86%
iter 70: loss 2.3502, time 207.64ms, mfu 0.86%
iter 80: loss 2.2893, time 205.67ms, mfu 0.86%
iter 90: loss 2.3022, time 205.03ms, mfu 0.86%
iter 100: loss 2.3434, time 206.71ms, mfu 0.86%
iter 110: loss 2.2481, time 205.53ms, mfu 0.86%
iter 120: loss 2.2046, time 205.48ms, mfu 0.86%
iter 130: loss 2.1905, time 207.93ms, mfu 0.86%
iter 140: loss 2.1445, time 207.44ms, mfu 0.86%
iter 150: loss 2.1189, time 206.05ms, mfu 0.86%
iter 160: loss 2.1306, time 206.90ms, mfu 0.85%
iter 170: loss 2.0205, time 206.76ms, mfu 0.85%
iter 180: loss 1.9752, time 202.54ms, mfu 0.86%
iter 190: loss 1.9481, time 201.86ms, mfu 0.86%
iter 200: loss 1.8980, time 203.51ms, mfu 0.86%
iter 210: loss 1.8801, time 208.75ms, mfu 0.86%
iter 220: loss 1.8332, time 208.90ms, mfu 0.85%
iter 230: loss 1.7676, time 206.20ms, mfu 0.85%
iter 240: loss 1.7486, time 207.48ms, mfu 0.85%
step 250: train loss 1.6879, val loss 1.6841
saving checkpoint to out-exp3-head4
iter 250: loss 1.6811, time 28567.20ms, mfu 0.77%
iter 260: loss 1.6644, time 210.33ms, mfu 0.77%
iter 270: loss 1.6238, time 205.64ms, mfu 0.78%
iter 280: loss 1.5703, time 205.90ms, mfu 0.79%
iter 290: loss 1.5731, time 203.89ms, mfu 0.80%
iter 300: loss 1.5456, time 205.55ms, mfu 0.80%
iter 310: loss 1.5015, time 204.67ms, mfu 0.81%
iter 320: loss 1.4249, time 209.91ms, mfu 0.81%
iter 330: loss 1.4353, time 206.31ms, mfu 0.81%
iter 340: loss 1.3999, time 205.85ms, mfu 0.82%
iter 350: loss 1.4001, time 207.16ms, mfu 0.82%
iter 360: loss 1.2949, time 207.48ms, mfu 0.82%
iter 370: loss 1.3396, time 207.95ms, mfu 0.83%
iter 380: loss 1.3314, time 208.69ms, mfu 0.83%
iter 390: loss 1.2786, time 205.85ms, mfu 0.83%
iter 400: loss 1.3016, time 208.91ms, mfu 0.83%
iter 410: loss 1.2502, time 209.33ms, mfu 0.83%
iter 420: loss 1.2445, time 206.83ms, mfu 0.83%
iter 430: loss 1.1819, time 203.73ms, mfu 0.84%
iter 440: loss 1.1726, time 204.19ms, mfu 0.84%
iter 450: loss 1.2169, time 205.85ms, mfu 0.84%
iter 460: loss 1.2143, time 206.73ms, mfu 0.84%
iter 470: loss 1.1918, time 205.40ms, mfu 0.84%
iter 480: loss 1.1489, time 208.82ms, mfu 0.84%
iter 490: loss 1.1402, time 209.56ms, mfu 0.84%
step 500: train loss 1.1409, val loss 1.1418
saving checkpoint to out-exp3-head4
iter 500: loss 1.1725, time 29433.35ms, mfu 0.76%
iter 510: loss 1.1229, time 217.94ms, mfu 0.76%
iter 520: loss 1.0751, time 212.11ms, mfu 0.77%
iter 530: loss 1.0900, time 212.62ms, mfu 0.77%
iter 540: loss 1.1100, time 217.31ms, mfu 0.78%
iter 550: loss 1.0741, time 212.68ms, mfu 0.78%
